method,rank,bits,compression_ratio,layer_output_error,cos_sim,ppl,delta_ppl_pct
plain_svd,8,16,37.87,0.815,0.5026,4633909530.4906,243186015669.65
cov_proj,8,16,37.87,0.5627,0.762,9326.8115,489367.93
weighted_svd,8,16,37.87,0.5361,0.7815,12942.2213,679103.43
plain_svd,16,16,18.93,0.7678,0.5759,161073.3391,8452974.74
cov_proj,16,16,18.93,0.4889,0.8193,77038.9497,4042878.21
weighted_svd,16,16,18.93,0.4533,0.8414,257523.9915,13514672.58
plain_svd,32,16,9.47,0.6989,0.6608,139870.5978,7340261.99
cov_proj,32,16,9.47,0.3937,0.8801,28501.3904,1495643.4
weighted_svd,32,16,9.47,0.3494,0.9024,58288.2887,3058849.81
cov_proj_residual_q4,8,4,3.56,0.1435,0.9866,9.0694,375.96
weighted_svd_residual_q4,8,4,151.48,0.1327,0.9889,7.5218,294.74
cov_proj_residual_q4,16,4,3.21,0.1415,0.9869,9.7783,413.16
weighted_svd_residual_q4,16,4,75.74,0.1283,0.9895,7.7911,308.88
cov_proj_residual_q4,32,4,2.71,0.1386,0.9876,8.3919,340.4
weighted_svd_residual_q4,32,4,37.87,0.1211,0.9906,10.2942,440.24
