model,method,rank_policy,residual_type,residual_bits,residual_density,ppl,ppl_ratio,honest_compression_ratio,bits_per_weight,cos_sim,status
qwen2.5-0.5b,scalar_q4,none,dense,4,1.0,10.2075,2.26,3.76,4.25,0.9843,ok
qwen2.5-0.5b,scalar_q3,none,dense,3,1.0,151791.3316,33595.35,4.92,3.25,0.9322,degraded
qwen2.5-0.5b,scalar_q2,none,dense,2,1.0,18004799.4898,3984928.09,7.11,2.25,0.6307,collapse
qwen2.5-0.5b,chmc_v1_uniform,uniform,dense,4,1.0,11758299003494.885,2602415873805.91,3.18,5.0323,-0.0066,collapse
qwen2.5-0.5b,adaptive_dense_hybrid,hybrid,dense,4,1.0,8.1677,1.81,3.18,5.0323,0.9855,ok
qwen2.5-0.5b,adaptive_dense_eff_rank,eff_rank,dense,4,1.0,8.1677,1.81,3.18,5.0323,0.9855,ok
qwen2.5-0.5b,adaptive_sparse_mag_r0.25,hybrid,sparse,4,0.25,21997.0318,4868.51,2.77,5.7823,0.899,degraded
qwen2.5-0.5b,adaptive_sparse_mag_r0.1,hybrid,sparse,4,0.1,9404.6809,2081.5,5.75,2.7823,0.8886,degraded
qwen2.5-0.5b,adaptive_sparse_mag_r0.05,hybrid,sparse,4,0.05,27282.6083,6038.35,8.98,1.7823,0.883,degraded
qwen2.5-0.5b,adaptive_sparse_hess_r0.25,hybrid,hessian_sparse,4,0.25,24399.3369,5400.2,2.77,5.7823,0.8973,degraded
qwen2.5-0.5b,adaptive_sparse_hess_r0.1,hybrid,hessian_sparse,4,0.1,5003.7677,1107.46,5.75,2.7823,0.8784,degraded
qwen2.5-0.5b,adaptive_sparse_hess_r0.05,hybrid,hessian_sparse,4,0.05,11447.4929,2533.63,8.98,1.7823,0.8642,degraded
qwen2.5-0.5b,adaptive_outlier_protected,hybrid,outlier_protected,4,0.1,40819.2577,9034.36,12.29,1.3023,0.8796,degraded
qwen2.5-0.5b,adaptive_sequential_sparse_r0.25,hybrid,sparse,4,0.25,21997.0318,4868.51,2.77,5.7823,0.899,degraded
qwen2.5-0.5b,adaptive_sequential_sparse_r0.1,hybrid,sparse,4,0.1,9404.6809,2081.5,5.75,2.7823,0.8886,degraded
qwen2.5-0.5b,ablation_policy_uniform_dense,uniform,dense,4,1.0,11758299003494.885,2602415873805.91,3.18,5.0323,-0.0066,collapse
qwen2.5-0.5b,ablation_policy_eff_rank_dense,eff_rank,dense,4,1.0,11758299003494.885,2602415873805.91,3.18,5.0323,-0.0066,collapse
qwen2.5-0.5b,ablation_policy_d90_dense,d90,dense,4,1.0,11758299003494.885,2602415873805.91,3.18,5.0323,-0.0066,collapse
qwen2.5-0.5b,ablation_policy_hybrid_dense,hybrid,dense,4,1.0,11758299003494.885,2602415873805.91,3.18,5.0323,-0.0066,collapse
qwen2.5-0.5b,ablation_lowrank_cov_proj_dense,hybrid,dense,4,1.0,8.1677,1.81,3.18,5.0323,0.9855,ok
qwen2.5-0.5b,ablation_lowrank_weighted_svd_dense,hybrid,dense,4,1.0,11758299003494.885,2602415873805.91,3.18,5.0323,-0.0066,collapse
qwen2.5-0.5b,ablation_lowrank_auto_dense,hybrid,dense,4,1.0,8.1677,1.81,3.18,5.0323,0.9855,ok
qwen2.5-0.5b,adaptive_sparse_r0.10_q4,hybrid,sparse,4,0.1,9404.6809,2081.5,5.75,2.7823,0.8886,degraded
qwen2.5-0.5b,adaptive_sparse_r0.10_q3,hybrid,sparse,3,0.1,31043.852,6870.81,5.97,2.6823,0.8686,degraded
