layer,rank,output_error,cos_sim,compression_ratio,bits_per_weight
model.layers.0.self_attn.q_proj,32,0.039694,0.9991,2.9669,5.3929
model.layers.0.self_attn.k_proj,32,0.052387,0.9982,1.8137,8.8216
model.layers.0.self_attn.v_proj,32,0.217558,0.9758,1.8137,8.8216
model.layers.0.self_attn.o_proj,64,0.095469,0.9946,2.4481,6.5357
model.layers.0.mlp.gate_proj,32,0.104441,0.9943,3.2476,4.9267
model.layers.0.mlp.up_proj,32,0.17073,0.9841,3.2476,4.9267
model.layers.0.mlp.down_proj,64,0.12373,0.9923,2.8554,5.6034
model.layers.1.self_attn.q_proj,32,0.103126,0.9942,2.9669,5.3929
model.layers.1.self_attn.k_proj,32,0.092483,0.9955,1.8137,8.8216
model.layers.1.self_attn.v_proj,32,0.142238,0.9898,1.8137,8.8216
model.layers.1.self_attn.o_proj,8,0.20861,0.9804,3.5275,4.5357
model.layers.1.mlp.gate_proj,32,0.105394,0.9945,3.2476,4.9267
model.layers.1.mlp.up_proj,32,0.164665,0.9864,3.2476,4.9267
model.layers.1.mlp.down_proj,64,0.169257,0.9864,2.8554,5.6034
model.layers.2.self_attn.q_proj,32,0.134045,0.9908,2.9669,5.3929
model.layers.2.self_attn.k_proj,32,0.108668,0.9939,1.8137,8.8216
model.layers.2.self_attn.v_proj,32,0.163974,0.9867,1.8137,8.8216
model.layers.2.self_attn.o_proj,32,0.172818,0.9842,2.9669,5.3929
model.layers.2.mlp.gate_proj,32,0.107039,0.9941,3.2476,4.9267
model.layers.2.mlp.up_proj,32,0.151011,0.9851,3.2476,4.9267
model.layers.2.mlp.down_proj,4,0.036925,0.9835,3.6912,4.3346
model.layers.3.self_attn.q_proj,32,0.115191,0.993,2.9669,5.3929
model.layers.3.self_attn.k_proj,32,0.084089,0.9961,1.8137,8.8216
model.layers.3.self_attn.v_proj,32,0.182369,0.9831,1.8137,8.8216
model.layers.3.self_attn.o_proj,32,0.180447,0.9835,2.9669,5.3929
model.layers.3.mlp.gate_proj,4,0.076409,0.9946,3.6912,4.3346
model.layers.3.mlp.up_proj,4,0.153752,0.985,3.6912,4.3346
model.layers.3.mlp.down_proj,4,0.028377,0.9838,3.6912,4.3346
model.layers.4.self_attn.q_proj,32,0.125912,0.9919,2.9669,5.3929
model.layers.4.self_attn.k_proj,32,0.09132,0.9958,1.8137,8.8216
model.layers.4.self_attn.v_proj,32,0.140485,0.9897,1.8137,8.8216
model.layers.4.self_attn.o_proj,32,0.217424,0.9757,2.9669,5.3929
model.layers.4.mlp.gate_proj,32,0.094281,0.9954,3.2476,4.9267
model.layers.4.mlp.up_proj,32,0.177108,0.9848,3.2476,4.9267
model.layers.4.mlp.down_proj,64,0.204101,0.9795,2.8554,5.6034
model.layers.5.self_attn.q_proj,32,0.135754,0.9907,2.9669,5.3929
model.layers.5.self_attn.k_proj,32,0.095034,0.9954,1.8137,8.8216
model.layers.5.self_attn.v_proj,32,0.147457,0.9881,1.8137,8.8216
model.layers.5.self_attn.o_proj,32,0.194242,0.9818,2.9669,5.3929
model.layers.5.mlp.gate_proj,32,0.076204,0.9968,3.2476,4.9267
model.layers.5.mlp.up_proj,32,0.17977,0.984,3.2476,4.9267
model.layers.5.mlp.down_proj,32,0.164546,0.9833,3.2476,4.9267
model.layers.6.self_attn.q_proj,32,0.136934,0.9907,2.9669,5.3929
model.layers.6.self_attn.k_proj,32,0.099506,0.9947,1.8137,8.8216
model.layers.6.self_attn.v_proj,32,0.107751,0.9939,1.8137,8.8216
model.layers.6.self_attn.o_proj,32,0.200331,0.9785,2.9669,5.3929
model.layers.6.mlp.gate_proj,32,0.101324,0.9949,3.2476,4.9267
model.layers.6.mlp.up_proj,32,0.173196,0.9845,3.2476,4.9267
model.layers.6.mlp.down_proj,64,0.195543,0.9817,2.8554,5.6034
model.layers.7.self_attn.q_proj,16,0.145106,0.9891,3.3185,4.8214
model.layers.7.self_attn.k_proj,16,0.107165,0.994,2.448,6.5359
model.layers.7.self_attn.v_proj,16,0.191351,0.9811,2.448,6.5359
model.layers.7.self_attn.o_proj,32,0.202546,0.9792,2.9669,5.3929
model.layers.7.mlp.gate_proj,32,0.097794,0.9948,3.2476,4.9267
model.layers.7.mlp.up_proj,32,0.182199,0.9833,3.2476,4.9267
model.layers.7.mlp.down_proj,64,0.222419,0.9763,2.8554,5.6034
model.layers.8.self_attn.q_proj,16,0.111286,0.9931,3.3185,4.8214
model.layers.8.self_attn.k_proj,16,0.11177,0.9932,2.448,6.5359
model.layers.8.self_attn.v_proj,16,0.143315,0.9898,2.448,6.5359
model.layers.8.self_attn.o_proj,32,0.170282,0.9858,2.9669,5.3929
model.layers.8.mlp.gate_proj,32,0.094065,0.9953,3.2476,4.9267
model.layers.8.mlp.up_proj,32,0.182118,0.9833,3.2476,4.9267
model.layers.8.mlp.down_proj,64,0.193137,0.982,2.8554,5.6034
model.layers.9.self_attn.q_proj,32,0.163269,0.9867,2.9669,5.3929
model.layers.9.self_attn.k_proj,32,0.113147,0.9938,1.8137,8.8216
model.layers.9.self_attn.v_proj,32,0.224996,0.9751,1.8137,8.8216
model.layers.9.self_attn.o_proj,32,0.212338,0.9779,2.9669,5.3929
model.layers.9.mlp.gate_proj,32,0.101709,0.9946,3.2476,4.9267
model.layers.9.mlp.up_proj,32,0.181375,0.9836,3.2476,4.9267
model.layers.9.mlp.down_proj,64,0.209809,0.9794,2.8554,5.6034
model.layers.10.self_attn.q_proj,32,0.135138,0.9907,2.9669,5.3929
model.layers.10.self_attn.k_proj,32,0.086115,0.9962,1.8137,8.8216
model.layers.10.self_attn.v_proj,32,0.163255,0.9853,1.8137,8.8216
model.layers.10.self_attn.o_proj,16,0.235113,0.973,3.3185,4.8214
model.layers.10.mlp.gate_proj,32,0.098917,0.9946,3.2476,4.9267
model.layers.10.mlp.up_proj,32,0.17877,0.9842,3.2476,4.9267
model.layers.10.mlp.down_proj,64,0.211426,0.978,2.8554,5.6034
model.layers.11.self_attn.q_proj,32,0.161389,0.9867,2.9669,5.3929
