model,method,rank_policy,residual_type,residual_bits,residual_density,ppl,ppl_ratio,honest_compression_ratio,bits_per_weight,cos_sim,status
smollm-135m,scalar_q4,none,dense,4,1.0,9.3947,1.84,3.76,4.25,0.9879,ok
smollm-135m,scalar_q3,none,dense,3,1.0,245704.1267,48148.33,4.92,3.25,0.9487,degraded
smollm-135m,scalar_q2,none,dense,2,1.0,8924493272.164,1748849017.06,7.11,2.25,0.6829,collapse
smollm-135m,chmc_v1_uniform,uniform,dense,4,1.0,59093626120.3499,11580022170.81,2.75,5.8265,0.2844,collapse
smollm-135m,adaptive_dense_hybrid,hybrid,dense,4,1.0,11.9857,2.35,2.75,5.8265,0.9866,ok
smollm-135m,adaptive_dense_eff_rank,eff_rank,dense,4,1.0,11.9857,2.35,2.75,5.8265,0.9866,ok
smollm-135m,adaptive_sparse_mag_r0.25,hybrid,sparse,4,0.25,108216.7982,21206.23,2.43,6.5766,0.9201,degraded
smollm-135m,adaptive_sparse_mag_r0.1,hybrid,sparse,4,0.1,15034.9218,2946.25,4.47,3.5765,0.8917,degraded
smollm-135m,adaptive_sparse_mag_r0.05,hybrid,sparse,4,0.05,16130.3006,3160.9,6.21,2.5765,0.8783,degraded
smollm-135m,adaptive_sparse_hess_r0.25,hybrid,hessian_sparse,4,0.25,91444.5776,17919.53,2.43,6.5766,0.915,degraded
smollm-135m,adaptive_sparse_hess_r0.1,hybrid,hessian_sparse,4,0.1,10153.3133,1989.65,4.47,3.5765,0.8785,degraded
smollm-135m,adaptive_sparse_hess_r0.05,hybrid,hessian_sparse,4,0.05,11892.6523,2330.49,6.21,2.5765,0.859,degraded
smollm-135m,adaptive_outlier_protected,hybrid,outlier_protected,4,0.1,34556.4243,6771.7,7.63,2.0965,0.866,degraded
smollm-135m,adaptive_sequential_sparse_r0.25,hybrid,sparse,4,0.25,108216.7982,21206.23,2.43,6.5766,0.9201,degraded
smollm-135m,adaptive_sequential_sparse_r0.1,hybrid,sparse,4,0.1,15034.9218,2946.25,4.47,3.5765,0.8917,degraded
smollm-135m,ablation_policy_uniform_dense,uniform,dense,4,1.0,59093626120.3499,11580022170.81,2.75,5.8265,0.2844,collapse
smollm-135m,ablation_policy_eff_rank_dense,eff_rank,dense,4,1.0,59093626120.3499,11580022170.81,2.75,5.8265,0.2844,collapse
smollm-135m,ablation_policy_d90_dense,d90,dense,4,1.0,59093626120.3499,11580022170.81,2.75,5.8265,0.2844,collapse
smollm-135m,ablation_policy_hybrid_dense,hybrid,dense,4,1.0,59093626120.3499,11580022170.81,2.75,5.8265,0.2844,collapse
smollm-135m,ablation_lowrank_cov_proj_dense,hybrid,dense,4,1.0,11.9857,2.35,2.75,5.8265,0.9866,ok
smollm-135m,ablation_lowrank_weighted_svd_dense,hybrid,dense,4,1.0,59093626120.3499,11580022170.81,2.75,5.8265,0.2844,collapse
smollm-135m,ablation_lowrank_auto_dense,hybrid,dense,4,1.0,11.9857,2.35,2.75,5.8265,0.9866,ok
smollm-135m,adaptive_sparse_r0.10_q4,hybrid,sparse,4,0.1,15034.9218,2946.25,4.47,3.5765,0.8917,degraded
smollm-135m,adaptive_sparse_r0.10_q3,hybrid,sparse,3,0.1,2181388.7565,427466.24,4.6,3.4765,0.8639,collapse
