layer,rank,output_error,cos_sim,compression_ratio,bits_per_weight
model.layers.0.self_attn.q_proj,64,0.037243,0.9992,2.0498,7.8056
model.layers.0.self_attn.k_proj,64,0.036141,0.9992,1.4083,11.3613
model.layers.0.self_attn.v_proj,64,0.124351,0.9922,1.4083,11.3613
model.layers.0.self_attn.o_proj,64,0.05681,0.9984,2.0498,7.8056
model.layers.0.mlp.gate_proj,64,0.124964,0.9849,2.39,6.6945
model.layers.0.mlp.up_proj,64,0.179285,0.9802,2.39,6.6945
model.layers.0.mlp.down_proj,64,0.079271,0.9967,2.39,6.6945
model.layers.1.self_attn.q_proj,16,0.112609,0.9938,3.1135,5.1389
model.layers.1.self_attn.k_proj,16,0.087366,0.9964,2.6543,6.0279
model.layers.1.self_attn.v_proj,16,0.174513,0.9831,2.6543,6.0279
model.layers.1.self_attn.o_proj,16,0.096505,0.9949,3.1135,5.1389
model.layers.1.mlp.gate_proj,64,0.11232,0.9941,2.39,6.6945
model.layers.1.mlp.up_proj,64,0.129249,0.9921,2.39,6.6945
model.layers.1.mlp.down_proj,64,0.081723,0.9956,2.39,6.6945
model.layers.2.self_attn.q_proj,16,0.12539,0.9924,3.1135,5.1389
model.layers.2.self_attn.k_proj,16,0.072976,0.9974,2.6543,6.0279
model.layers.2.self_attn.v_proj,16,0.19521,0.9591,2.6543,6.0279
model.layers.2.self_attn.o_proj,32,0.164465,0.9839,2.6544,6.0278
model.layers.2.mlp.gate_proj,64,0.113135,0.9933,2.39,6.6945
model.layers.2.mlp.up_proj,64,0.134942,0.9905,2.39,6.6945
model.layers.2.mlp.down_proj,4,0.070313,0.9924,3.6341,4.4028
model.layers.3.self_attn.q_proj,32,0.116392,0.9937,2.6544,6.0278
model.layers.3.self_attn.k_proj,32,0.095401,0.9956,2.0498,7.8057
model.layers.3.self_attn.v_proj,32,0.193103,0.9324,2.0498,7.8057
model.layers.3.self_attn.o_proj,32,0.126476,0.9889,2.6544,6.0278
model.layers.3.mlp.gate_proj,64,0.115362,0.9921,2.39,6.6945
model.layers.3.mlp.up_proj,64,0.133193,0.9901,2.39,6.6945
model.layers.3.mlp.down_proj,32,0.119819,0.9911,2.9238,5.4722
model.layers.4.self_attn.q_proj,16,0.115241,0.9935,3.1135,5.1389
model.layers.4.self_attn.k_proj,16,0.08914,0.9958,2.6543,6.0279
model.layers.4.self_attn.v_proj,16,0.204217,0.9289,2.6543,6.0279
model.layers.4.self_attn.o_proj,32,0.153705,0.9862,2.6544,6.0278
model.layers.4.mlp.gate_proj,64,0.107585,0.9934,2.39,6.6945
model.layers.4.mlp.up_proj,64,0.135492,0.9889,2.39,6.6945
model.layers.4.mlp.down_proj,64,0.141022,0.9907,2.39,6.6945
model.layers.5.self_attn.q_proj,32,0.11019,0.9941,2.6544,6.0278
model.layers.5.self_attn.k_proj,32,0.097714,0.9955,2.0498,7.8057
