,beats_gptq,cone_aware,dampening,gptq_ref,group_dim,hadamard,ip_metric,lloyd_max,margin_vs_gptq,niter,qjl,ratio,strict_sequential,whitening
beats_gptq,1,-0.151292,0.418807,-0.580259,-0.12303,-0.196925,-0.086647,-0.151292,0.107076,0.231603,-0.12303,-0.107097,-0.108008,-0.221917
cone_aware,-0.151292,1,-0.271741,0.199989,-0.019834,0.768273,-0.013969,0.658537,-0.141442,,0.396682,0.141448,-0.177442,
dampening,0.418807,-0.271741,1,-0.41931,-0.241614,-0.353703,-0.155629,-0.271741,0.1923,0.38657,-0.220979,-0.192314,-0.375293,0.137987
gptq_ref,-0.580259,0.199989,-0.41931,1,0.162631,0.26031,0.114536,0.199989,-0.14153,-0.201215,0.162631,0.141564,0.197111,0.40908
group_dim,-0.12303,-0.019834,-0.241614,0.162631,1,-0.025816,-0.011359,-0.019834,0.013997,,-0.016129,-0.013992,0.111778,
hadamard,-0.196925,0.768273,-0.353703,0.26031,-0.025816,1,-0.018182,0.768273,-0.101519,,0.299471,0.101528,-0.230962,
ip_metric,-0.086647,-0.013969,-0.155629,0.114536,-0.011359,-0.018182,1,-0.013969,0.00988,,-0.011359,-0.009876,-0.101623,
lloyd_max,-0.151292,0.658537,-0.271741,0.199989,-0.019834,0.768273,-0.013969,1,-0.141406,,0.396682,0.141412,-0.177442,
margin_vs_gptq,0.107076,-0.141442,0.1923,-0.14153,0.013997,-0.101519,0.00988,-0.141406,1,0.151121,-0.870006,-1,0.125548,-0.359051
niter,0.231603,,0.38657,-0.201215,,,,,0.151121,1,,-0.208111,-0.319642,
qjl,-0.12303,0.396682,-0.220979,0.162631,-0.016129,0.299471,-0.011359,0.396682,-0.870006,,1,0.870008,-0.144295,
ratio,-0.107097,0.141448,-0.192314,0.141564,-0.013992,0.101528,-0.009876,0.141412,-1,-0.208111,0.870008,1,-0.12554,0.458144
strict_sequential,-0.108008,-0.177442,-0.375293,0.197111,0.111778,-0.230962,-0.101623,-0.177442,0.125548,-0.319642,-0.144295,-0.12554,1,0.041345
whitening,-0.221917,,0.137987,0.40908,,,,,-0.359051,,,0.458144,0.041345,1
