,beats_gptq,cone_aware,dampening,gptq_ref,group_dim,hadamard,ip_metric,lloyd_max,margin_vs_gptq,niter,ratio,strict_sequential,whitening
beats_gptq,1,-0.125988,0.40462,-0.572157,-0.125988,-0.179653,-0.088724,-0.125988,0.332757,0.231603,-0.442244,-0.128064,-0.221917
cone_aware,-0.125988,1,-0.230265,0.167505,-0.016393,0.701287,-0.011545,0.491803,-0.505074,,0.488782,-0.148193,
dampening,0.40462,-0.230265,1,-0.398393,-0.251426,-0.328346,-0.162159,-0.230265,0.408285,0.38657,-0.463579,-0.421916,0.137987
gptq_ref,-0.572157,0.167505,-0.398393,1,0.167505,0.238854,0.117962,0.167505,-0.338519,-0.201215,0.558703,0.225918,0.40908
group_dim,-0.125988,-0.016393,-0.251426,0.167505,1,-0.023376,-0.011545,-0.016393,-0.293297,,0.302121,0.110623,
hadamard,-0.179653,0.701287,-0.328346,0.238854,-0.023376,1,-0.016462,0.701287,-0.743774,,0.717748,-0.211315,
ip_metric,-0.088724,-0.011545,-0.162159,0.117962,-0.011545,-0.016462,1,-0.011545,-0.023241,,0.051194,-0.104361,
lloyd_max,-0.125988,0.491803,-0.230265,0.167505,-0.016393,0.701287,-0.011545,1,-0.131588,,0.159589,-0.148193,
margin_vs_gptq,0.332757,-0.505074,0.408285,-0.338519,-0.293297,-0.743774,-0.023241,-0.131588,1,0.151121,-0.969533,0.08411,-0.359051
niter,0.231603,,0.38657,-0.201215,,,,,0.151121,1,-0.208111,-0.319642,
ratio,-0.442244,0.488782,-0.463579,0.558703,0.302121,0.717748,0.051194,0.159589,-0.969533,-0.208111,1,-0.015322,0.458144
strict_sequential,-0.128064,-0.148193,-0.421916,0.225918,0.110623,-0.211315,-0.104361,-0.148193,0.08411,-0.319642,-0.015322,1,0.041345
whitening,-0.221917,,0.137987,0.40908,,,,,-0.359051,,0.458144,0.041345,1
