,beats_gptq,cone_aware,dampening,gptq_ref,group_dim,hadamard,ip_metric,lloyd_max,margin_vs_gptq,niter,ratio,strict_sequential,whitening
beats_gptq,1,-0.125988,0.360163,-0.586562,-0.125988,-0.179653,-0.088724,-0.125988,0.866014,0.261564,-0.78534,-0.128064,-0.221917
cone_aware,-0.125988,1,-0.204061,0.16016,-0.016393,0.701287,-0.011545,0.491803,-0.211061,,0.211061,-0.148193,
dampening,0.360163,-0.204061,1,-0.375765,-0.215191,-0.29098,-0.143705,-0.204061,0.468607,0.393155,-0.455448,-0.362554,0.181309
gptq_ref,-0.586562,0.16016,-0.375765,1,0.16016,0.22838,0.112789,0.16016,-0.657407,-0.45009,0.845015,0.260638,0.17945
group_dim,-0.125988,-0.016393,-0.215191,0.16016,1,-0.023376,-0.011545,-0.016393,-0.211061,,0.211061,0.110623,
hadamard,-0.179653,0.701287,-0.29098,0.22838,-0.023376,1,-0.016462,0.701287,-0.300962,,0.300962,-0.211315,
ip_metric,-0.088724,-0.011545,-0.143705,0.112789,-0.011545,-0.016462,1,-0.011545,-0.12974,,0.137298,-0.104361,
lloyd_max,-0.125988,0.491803,-0.204061,0.16016,-0.016393,0.701287,-0.011545,1,-0.203906,,0.203906,-0.148193,
margin_vs_gptq,0.866014,-0.211061,0.468607,-0.657407,-0.211061,-0.300962,-0.12974,-0.203906,1,0.255285,-0.923121,-0.181957,-0.229249
niter,0.261564,,0.393155,-0.45009,,,,,0.255285,1,-0.337093,-0.360992,
ratio,-0.78534,0.211061,-0.455448,0.845015,0.211061,0.300962,0.137298,0.203906,-0.923121,-0.337093,1,0.198809,0.294748
strict_sequential,-0.128064,-0.148193,-0.362554,0.260638,0.110623,-0.211315,-0.104361,-0.148193,-0.181957,-0.360992,0.198809,1,0.041345
whitening,-0.221917,,0.181309,0.17945,,,,,-0.229249,,0.294748,0.041345,1
