param,value,n_runs,mean_ratio,std_ratio,min_ratio,max_ratio,%beats_GPTQ
cone_aware,0,122,1.143935,0.12865,1.028359,2.231026,50.0
cone_aware,1,2,1.752501,0.564776,1.353144,2.151858,0.0
dampening,0.1,31,1.090792,0.050081,1.056322,1.189182,77.4
dampening,0.04,15,1.125378,0.057367,1.048837,1.197979,40.0
dampening,0.05,45,1.133189,0.055081,1.028359,1.196934,48.9
dampening,0.06,21,1.139704,0.05959,1.060278,1.232889,42.9
dampening,0.001,2,1.44854,0.19182,1.312903,1.584177,0.0
dampening,0.01,10,1.454546,0.401532,1.088885,2.231026,0.0
group_dim,0,122,1.147683,0.151157,1.028359,2.231026,50.0
group_dim,1,2,1.523844,0.085324,1.463511,1.584177,0.0
hadamard,0,120,1.133197,0.080256,1.028359,1.584177,50.8
hadamard,1,4,1.770343,0.487326,1.345345,2.231026,0.0
ip_metric,0,123,1.153027,0.157916,1.028359,2.231026,49.6
ip_metric,1,1,1.242801,0.0,1.242801,1.242801,0.0
lloyd_max,0,122,1.150546,0.15674,1.028359,2.231026,50.0
lloyd_max,1,2,1.349244,0.005515,1.345345,1.353144,0.0
niter,10,3,1.061004,0.004337,1.057826,1.065945,100.0
niter,20,3,1.066172,0.002104,1.064693,1.068581,100.0
niter,5,51,1.102962,0.051181,1.028359,1.232889,58.8
strict_sequential,1,71,1.151674,0.086921,1.042569,1.584177,43.7
strict_sequential,0,53,1.156532,0.220174,1.028359,2.231026,56.6
whitening,0,39,1.094519,0.040357,1.028359,1.194251,61.5
whitening,1,9,1.154346,0.06767,1.066232,1.232889,33.3
