model,param,value,n_runs,mean_ratio,std_ratio,min_ratio,max_ratio,%beats_GPTQ
qwen2.5-0.5B,dampening,0.1,3,1.180997,0.009241,1.170376,1.187198,0.0
qwen2.5-0.5B,dampening,0.05,8,1.181869,0.010155,1.169494,1.196934,0.0
qwen2.5-0.5B,dampening,0.04,3,1.186116,0.014636,1.16976,1.197979,0.0
qwen2.5-0.5B,dampening,0.06,9,1.190708,0.022051,1.169396,1.232889,0.0
qwen2.5-0.5B,dampening,0.01,1,1.232547,0.0,1.232547,1.232547,0.0
qwen2.5-0.5B,strict_sequential,1,17,1.18643,0.018084,1.169396,1.232889,0.0
qwen2.5-0.5B,strict_sequential,0,7,1.190843,0.019955,1.170376,1.232547,0.0
qwen2.5-0.5B,whitening,0,3,1.178672,0.013573,1.169396,1.194251,0.0
qwen2.5-0.5B,whitening,1,3,1.214779,0.016518,1.200541,1.232889,0.0
qwen2.5-3b,dampening,0.1,3,1.080012,0.01003,1.069131,1.088889,66.7
qwen2.5-3b,dampening,0.06,3,1.086327,0.009565,1.080561,1.097368,66.7
qwen2.5-3b,dampening,0.04,3,1.087663,0.010323,1.081547,1.099582,66.7
qwen2.5-3b,dampening,0.05,6,1.087731,0.011176,1.072111,1.099068,33.3
qwen2.5-3b,strict_sequential,0,6,1.081796,0.009344,1.069131,1.09239,50.0
qwen2.5-3b,strict_sequential,1,9,1.088624,0.009692,1.077626,1.099582,55.6
qwen3-4b,dampening,0.1,3,1.06625,0.008614,1.056322,1.071728,100.0
qwen3-4b,dampening,0.05,6,1.074248,0.033018,1.028359,1.109158,66.7
qwen3-4b,dampening,0.06,3,1.077816,0.008331,1.069095,1.085693,100.0
qwen3-4b,dampening,0.04,3,1.094717,0.039734,1.048837,1.117972,33.3
qwen3-4b,strict_sequential,0,6,1.070012,0.026298,1.028359,1.104568,83.3
qwen3-4b,strict_sequential,1,9,1.082419,0.027875,1.042569,1.117972,66.7
smollm-135M,cone_aware,0,35,1.242973,0.192758,1.172215,2.231026,28.6
smollm-135M,cone_aware,1,2,1.752501,0.564776,1.353144,2.151858,0.0
smollm-135M,dampening,0.05,17,1.179229,0.008216,1.172276,1.19541,47.1
smollm-135M,dampening,0.06,3,1.180153,0.007073,1.175302,1.188269,33.3
smollm-135M,dampening,0.1,4,1.180832,0.006993,1.172215,1.189182,25.0
smollm-135M,dampening,0.04,3,1.192427,0.00169,1.190585,1.193906,0.0
smollm-135M,dampening,0.001,2,1.44854,0.19182,1.312903,1.584177,0.0
smollm-135M,dampening,0.01,8,1.528004,0.418311,1.214645,2.231026,0.0
smollm-135M,group_dim,0,35,1.25604,0.238282,1.172215,2.231026,28.6
smollm-135M,group_dim,1,2,1.523844,0.085324,1.463511,1.584177,0.0
smollm-135M,hadamard,0,33,1.20993,0.086698,1.172215,1.584177,30.3
smollm-135M,hadamard,1,4,1.770343,0.487326,1.345345,2.231026,0.0
smollm-135M,ip_metric,1,1,1.242801,0.0,1.242801,1.242801,0.0
smollm-135M,ip_metric,0,36,1.271285,0.243348,1.172215,2.231026,27.8
smollm-135M,lloyd_max,0,35,1.266017,0.246164,1.172215,2.231026,28.6
smollm-135M,lloyd_max,1,2,1.349244,0.005515,1.345345,1.353144,0.0
smollm-135M,strict_sequential,1,25,1.214177,0.098981,1.172276,1.584177,36.0
smollm-135M,strict_sequential,0,12,1.387888,0.380625,1.172215,2.231026,8.3
smollm-135M,whitening,0,3,1.174751,0.003173,1.172276,1.178328,66.7
smollm-135M,whitening,1,3,1.181348,0.001963,1.179147,1.182916,0.0
tinyllama-1.1B,dampening,0.06,3,1.06151,0.001605,1.060278,1.063325,100.0
tinyllama-1.1B,dampening,0.1,18,1.061636,0.004069,1.057826,1.068581,100.0
tinyllama-1.1B,dampening,0.05,8,1.064973,0.004685,1.057544,1.069183,100.0
tinyllama-1.1B,dampening,0.04,3,1.065966,0.004323,1.061493,1.070121,100.0
tinyllama-1.1B,dampening,0.01,1,1.088885,0.0,1.088885,1.088885,0.0
tinyllama-1.1B,niter,10,3,1.061004,0.004337,1.057826,1.065945,100.0
tinyllama-1.1B,niter,5,9,1.061355,0.004219,1.057963,1.067982,100.0
tinyllama-1.1B,niter,20,3,1.066172,0.002104,1.064693,1.068581,100.0
tinyllama-1.1B,strict_sequential,0,22,1.063399,0.007167,1.057826,1.088885,95.5
tinyllama-1.1B,strict_sequential,1,11,1.06416,0.003853,1.057544,1.070121,100.0
tinyllama-1.1B,whitening,0,3,1.058577,0.000664,1.057963,1.059282,100.0
tinyllama-1.1B,whitening,1,3,1.06691,0.000939,1.066232,1.067982,100.0
