source,tag,model,n_params_approx,baseline_ppl,compressed_ppl,ratio,gptq_ref,margin_vs_gptq,beats_gptq,angular,bit_budget_bpw,block_cov,cone_aware,dampening,device_map,group_dim,group_size,hadamard,hessian_batches,ip_metric,lloyd_max,max_memory_headroom_gib,max_memory_per_gpu,niter,qjl,qjl_n_projections,rank,residual_bits,strict_sequential,tangent,use_compensation,whitening
results_v6\baseline_upgrade\best_qwen2.5-0.5b.json,best_qwen2.5-0.5b,qwen2.5-0.5B,4.94e+08,14.9356,17.5323,1.17386,1.1407,-0.033162,0,0,4.2875,0,0,0.05,,0,128,0,1,0,0,,,,0,0,8,4,1,0,1,
results_v6\baseline_upgrade\best_tinyllama-1.1b.json,best_tinyllama-1.1b,tinyllama-1.1B,1.1e+09,9.4244,10.0385,1.06515,1.0807,0.015546,1,0,4.2875,0,0,0.05,,0,128,0,1,0,0,,,,0,0,8,4,1,0,1,
results_v6\baseline_upgrade\ref_baseline.json,ref_baseline,smollm-135M,1.35e+08,21.3072,25.8807,1.21464,1.1761,-0.038545,0,0,4.2875,0,0,0.01,,0,128,0,1,0,0,,,,0,0,8,4,0,0,1,
results_v6\baseline_upgrade\strict_gptq.json,strict_gptq,smollm-135M,1.35e+08,21.3072,26.031,1.2217,1.1761,-0.045599,0,0,4.2875,0,0,0.01,,0,128,0,1,0,0,,,,0,0,8,4,1,0,1,
results_v6\baseline_upgrade\strict_gptq_damp0001.json,strict_gptq_damp0001,smollm-135M,1.35e+08,21.3072,27.9743,1.3129,1.1761,-0.136803,0,0,4.2875,0,0,0.001,,0,128,0,1,0,0,,,,0,0,8,4,1,0,1,
results_v6\baseline_upgrade\strict_gptq_damp005.json,strict_gptq_damp005,smollm-135M,1.35e+08,21.3072,24.9779,1.17228,1.1761,0.003824,1,0,4.2875,0,0,0.05,,0,128,0,1,0,0,,,,0,0,8,4,1,0,1,
results_v6\baseline_upgrade\strict_gptq_damp01.json,strict_gptq_damp01,smollm-135M,1.35e+08,21.3072,25.1383,1.1798,1.1761,-0.003702,0,0,4.2875,0,0,0.1,,0,128,0,1,0,0,,,,0,0,8,4,1,0,1,
results_v6\baseline_upgrade\strict_gptq_gd1.json,strict_gptq_gd1,smollm-135M,1.35e+08,21.3072,31.1833,1.46351,1.1761,-0.287411,0,0,4.2875,0,0,0.01,,1,128,0,1,0,0,,,,0,0,8,4,1,0,1,
results_v6\baseline_upgrade\strict_gptq_gd1_d0001.json,strict_gptq_gd1_d0001,smollm-135M,1.35e+08,21.3072,33.7544,1.58418,1.1761,-0.408077,0,0,4.2875,0,0,0.001,,1,128,0,1,0,0,,,,0,0,8,4,1,0,1,
results_v6\niter_test\niter10_rep0_seed42.json,niter10_rep0_seed42,tinyllama-1.1B,1.1e+09,9.4244,9.9694,1.05783,1.0807,0.022874,1,0,4.2875,0,0,0.1,,0,128,0,1,0,0,,,10,0,0,8,4,0,0,1,
results_v6\niter_test\niter10_rep1_seed43.json,niter10_rep1_seed43,tinyllama-1.1B,1.1e+09,9.4244,10.0459,1.06594,1.0807,0.014755,1,0,4.2875,0,0,0.1,,0,128,0,1,0,0,,,10,0,0,8,4,0,0,1,
results_v6\niter_test\niter10_rep2_seed44.json,niter10_rep2_seed44,tinyllama-1.1B,1.1e+09,9.4244,9.9827,1.05924,1.0807,0.02146,1,0,4.2875,0,0,0.1,,0,128,0,1,0,0,,,10,0,0,8,4,0,0,1,
results_v6\niter_test\niter20_rep0_seed42.json,niter20_rep0_seed42,tinyllama-1.1B,1.1e+09,9.4244,10.0708,1.06858,1.0807,0.012119,1,0,4.2875,0,0,0.1,,0,128,0,1,0,0,,,20,0,0,8,4,0,0,1,
results_v6\niter_test\niter20_rep1_seed43.json,niter20_rep1_seed43,tinyllama-1.1B,1.1e+09,9.4244,10.0341,1.06469,1.0807,0.016007,1,0,4.2875,0,0,0.1,,0,128,0,1,0,0,,,20,0,0,8,4,0,0,1,
results_v6\niter_test\niter20_rep2_seed44.json,niter20_rep2_seed44,tinyllama-1.1B,1.1e+09,9.4244,10.0393,1.06524,1.0807,0.015458,1,0,4.2875,0,0,0.1,,0,128,0,1,0,0,,,20,0,0,8,4,0,0,1,
