item,kind,n_layers,eps_star_pre,eps_star_post,b0_pre,b0_post,b1_pre,b1_post,topo_rank_pre,topo_rank_post,w1_h0,w1_h1,cos_mean,d90_act_pre,d90_act_post,eff_rank_act_pre,eff_rank_act_post,eff_rank_min_pre,eff_rank_med_pre,eff_rank_min_post,eff_rank_med_post,d90_min_pre,d90_med_pre,d90_min_post,d90_med_post
layers.0,block,,1.596549,1.578597,314,314,0,0,314,314,2.305485,5.209979,0.99562,219,220,184.82,184.908,,,,,,,,
layers.1,block,,4.25038,4.297376,313,313,0,0,313,313,2.793539,6.181506,0.99464,256,257,202.474,203.016,,,,,,,,
layers.2,block,,6.630503,6.569074,309,309,0,0,309,309,2.31284,10.488331,0.99228,49,44,5.258,4.853,,,,,,,,
layers.3,block,,8.048147,7.881009,306,306,1,0,307,306,3.384039,9.284664,0.98933,1,1,1.8,1.76,,,,,,,,
layers.4,block,,8.788556,8.841426,310,310,1,1,311,311,5.057812,11.74085,0.98681,1,1,1.998,1.951,,,,,,,,
layers.5,block,,9.456949,9.225904,311,311,0,1,311,312,8.493197,14.351757,0.98645,1,1,2.056,2.008,,,,,,,,
layers.6,block,,10.073532,9.800919,310,312,3,2,313,314,29.771714,19.090748,0.98702,1,1,2.225,2.116,,,,,,,,
layers.7,block,,11.27417,11.09436,310,309,1,1,311,310,14.746349,13.450868,0.9872,2,1,2.421,2.332,,,,,,,,
layers.8,block,,12.286671,12.241056,303,303,3,4,306,307,10.580612,13.222721,0.98645,4,3,2.56,2.478,,,,,,,,
layers.9,block,,12.397389,12.288364,302,304,2,4,304,308,10.467322,15.508089,0.9853,5,3,2.62,2.53,,,,,,,,
layers.10,block,,13.05769,12.961765,298,298,4,3,302,301,8.882488,14.150312,0.98462,6,5,2.719,2.626,,,,,,,,
layers.11,block,,12.839247,12.824947,305,305,4,6,309,311,11.974679,15.410138,0.9822,6,5,2.769,2.67,,,,,,,,
layers.12,block,,13.323877,13.214024,301,303,4,4,305,307,11.793445,13.750432,0.98217,8,6,2.891,2.776,,,,,,,,
layers.13,block,,13.678382,13.547922,302,303,2,3,304,306,11.363324,13.768617,0.98164,10,8,3.062,2.942,,,,,,,,
layers.14,block,,14.701501,14.497689,302,310,4,3,306,313,6.178823,13.061826,0.98282,15,13,3.421,3.295,,,,,,,,
layers.15,block,,16.301302,16.269346,305,303,11,10,316,313,6.336526,16.392349,0.98401,24,21,4.076,3.914,,,,,,,,
layers.16,block,,18.761111,18.856413,290,291,14,17,304,308,11.919278,29.295278,0.98286,55,54,6.404,6.249,,,,,,,,
layers.17,block,,21.008874,20.888947,287,294,15,11,302,305,10.780179,28.896784,0.98594,79,77,8.612,8.331,,,,,,,,
layers.18,block,,23.526447,23.561199,290,289,22,18,312,307,12.397619,35.191428,0.98616,105,103,11.568,11.159,,,,,,,,
layers.19,block,,27.61273,27.467574,287,292,18,20,305,312,16.850585,42.692779,0.98621,135,132,18.333,17.555,,,,,,,,
layers.20,block,,33.245764,32.828659,288,288,18,17,306,305,16.650811,64.100062,0.98743,162,159,29.52,28.143,,,,,,,,
layers.21,block,,36.180371,35.861547,289,290,22,22,311,312,26.953422,63.90239,0.98907,267,268,179.046,180.839,,,,,,,,
layers.22,block,,39.628227,39.750556,291,292,12,18,303,310,37.8815,60.779671,0.98652,271,273,173.783,175.75,,,,,,,,
layers.23,block,,41.979642,41.782425,297,301,12,8,309,309,53.910889,88.63943,0.98075,222,226,113.574,115.186,,,,,,,,
weight_all,weight,168,,,,,,,,,,,,,,,,18.679,358.145,23.001,366.195,21,325,28,331
weight_attn,weight,96,,,,,,,,,,,,,,,,18.679,123.382,23.001,123.207,21,108,28,107
weight_mlp,weight,72,,,,,,,,,,,,,,,,630.065,731.744,636.711,734.844,594,653,599,654
