item,kind,n_layers,eps_star_pre,eps_star_post,b0_pre,b0_post,b1_pre,b1_post,topo_rank_pre,topo_rank_post,w1_h0,w1_h1,cos_mean,d90_act_pre,d90_act_post,eff_rank_act_pre,eff_rank_act_post,eff_rank_min_pre,eff_rank_med_pre,eff_rank_min_post,eff_rank_med_post,d90_min_pre,d90_med_pre,d90_min_post,d90_med_post
layers.0,block,,1.315601,1.367651,321,322,0,0,321,322,22.388349,37.293346,0.99767,160,161,137.296,137.619,,,,,,,,
layers.1,block,,18.060534,18.432497,321,320,0,0,321,320,23.766192,42.08247,0.99825,179,180,147.829,147.858,,,,,,,,
layers.2,block,,24.520866,25.361729,319,319,0,0,319,319,30.260737,32.042892,0.99797,177,178,120.106,121.594,,,,,,,,
layers.3,block,,27.525307,27.839483,319,318,0,0,319,318,38.551301,43.808954,0.99755,186,187,128.496,130.198,,,,,,,,
layers.4,block,,33.006346,33.644228,316,316,0,0,316,316,61.028799,55.185715,0.99713,191,193,133.426,135.599,,,,,,,,
layers.5,block,,36.330182,37.118099,316,317,0,0,316,317,57.887445,79.568322,0.9967,193,195,131.147,133.185,,,,,,,,
layers.6,block,,43.795443,44.484199,318,316,0,0,318,316,62.864904,87.939861,0.99603,197,198,132.654,133.906,,,,,,,,
layers.7,block,,44.036864,44.851009,320,318,1,1,321,319,46.694178,111.92972,0.99607,197,198,144.4,144.904,,,,,,,,
layers.8,block,,55.134706,55.196148,319,319,0,0,319,319,50.121341,109.478336,0.99544,206,206,157.904,157.031,,,,,,,,
layers.9,block,,60.114156,60.599031,319,318,0,0,319,318,76.066596,188.481408,0.99528,202,202,155.377,154.449,,,,,,,,
layers.10,block,,71.819673,71.939101,316,316,0,0,316,316,91.893981,203.523077,0.99486,203,203,150.866,149.805,,,,,,,,
layers.11,block,,86.918628,85.862862,317,318,0,0,317,318,97.182087,145.741627,0.99429,1,1,1.399,1.411,,,,,,,,
layers.12,block,,95.841658,95.909908,317,317,0,0,317,317,71.392578,165.540274,0.99445,1,1,1.399,1.412,,,,,,,,
layers.13,block,,116.836914,119.230038,306,298,1,1,307,299,48.005563,160.507889,0.9934,1,1,1.484,1.508,,,,,,,,
layers.14,block,,117.827923,121.56981,303,302,1,2,304,304,66.138456,187.936003,0.99302,1,1,1.529,1.553,,,,,,,,
layers.15,block,,121.469149,125.650262,304,301,1,3,305,304,41.342296,168.421284,0.9932,1,1,1.567,1.592,,,,,,,,
layers.16,block,,140.057356,142.539469,302,300,2,5,304,305,74.751315,232.772689,0.99237,1,1,1.665,1.691,,,,,,,,
layers.17,block,,150.334075,153.416911,305,303,2,3,307,306,65.432272,219.635082,0.99185,1,1,1.762,1.795,,,,,,,,
layers.18,block,,165.847746,169.372464,296,295,6,6,302,301,103.969622,244.539482,0.99124,1,1,1.945,1.993,,,,,,,,
layers.19,block,,186.353239,188.862137,307,308,4,2,311,310,106.272913,264.560584,0.99154,1,2,2.238,2.304,,,,,,,,
layers.20,block,,206.301335,206.325538,300,303,6,11,306,314,119.004368,267.211913,0.99095,3,3,2.517,2.593,,,,,,,,
layers.21,block,,238.054141,237.918417,308,305,6,10,314,315,130.111439,302.9208,0.9906,9,11,3.135,3.244,,,,,,,,
layers.22,block,,272.159438,272.831091,304,303,5,9,309,312,166.04337,474.165335,0.99069,23,26,4.065,4.216,,,,,,,,
layers.23,block,,303.17642,302.409607,306,299,4,7,310,306,322.157126,512.287004,0.99135,39,42,5.313,5.519,,,,,,,,
layers.24,block,,343.031292,344.591966,304,301,6,8,310,309,319.686056,534.784536,0.99153,58,60,7.135,7.418,,,,,,,,
layers.25,block,,380.525861,380.941235,303,301,3,6,306,307,497.124656,604.154555,0.99168,73,76,9.394,9.712,,,,,,,,
layers.26,block,,413.857715,414.107981,301,299,5,7,306,306,616.822912,698.640489,0.99312,87,90,11.774,12.157,,,,,,,,
layers.27,block,,462.16718,462.555829,299,300,0,12,299,312,833.130129,726.761863,0.99306,97,99,15.129,15.598,,,,,,,,
layers.28,block,,499.464091,496.45803,298,300,7,10,305,310,785.515508,829.794321,0.99292,204,203,129.703,127.431,,,,,,,,
layers.29,block,,634.820853,632.569796,298,298,6,16,304,314,1091.061632,1289.752976,0.99006,107,107,43.805,43.415,,,,,,,,
weight_all,weight,210,,,,,,,,,,,,,,,,18.822,273.943,21.842,276.326,21,244,26,246
weight_attn,weight,120,,,,,,,,,,,,,,,,18.822,165.938,21.842,165.826,21,145,26,146
weight_mlp,weight,90,,,,,,,,,,,,,,,,347.499,431.327,350.045,432.563,342,380,345,381
