item,kind,n_layers,eps_star_pre,eps_star_post,b0_pre,b0_post,b1_pre,b1_post,topo_rank_pre,topo_rank_post,w1_h0,w1_h1,cos_mean,d90_act_pre,d90_act_post,eff_rank_act_pre,eff_rank_act_post,eff_rank_min_pre,eff_rank_med_pre,eff_rank_min_post,eff_rank_med_post,d90_min_pre,d90_med_pre,d90_min_post,d90_med_post
layers.0,block,,0.110191,0.111013,324,324,0,0,324,324,0.107465,0.099155,0.99961,411,411,301.933,301.71,,,,,,,,
layers.1,block,,0.417313,0.421117,328,328,0,0,328,328,0.237568,0.175803,0.99813,469,470,339.948,340.67,,,,,,,,
layers.2,block,,0.743371,0.738215,322,321,0,1,322,322,0.194986,0.379318,0.99634,1,1,1.375,1.381,,,,,,,,
layers.3,block,,0.983636,0.988773,325,324,0,0,325,324,0.3578,0.611512,0.99534,1,1,1.628,1.637,,,,,,,,
layers.4,block,,1.369775,1.388471,321,321,1,1,322,322,0.421822,0.844549,0.99424,1,1,2.033,2.05,,,,,,,,
layers.5,block,,1.711364,1.721163,322,320,0,0,322,320,1.26703,1.128511,0.99308,3,3,2.67,2.674,,,,,,,,
layers.6,block,,2.075428,2.085617,318,320,5,2,323,322,1.38534,1.702011,0.99118,29,29,3.676,3.696,,,,,,,,
layers.7,block,,2.450432,2.447372,322,322,2,3,324,325,2.073466,2.514146,0.99096,46,44,4.882,4.812,,,,,,,,
layers.8,block,,2.834428,2.848361,323,321,4,2,327,323,1.819181,2.816253,0.9894,86,85,6.517,6.461,,,,,,,,
layers.9,block,,3.495515,3.518651,324,320,5,6,329,326,1.264602,3.056439,0.98946,150,151,10.383,10.334,,,,,,,,
layers.10,block,,4.073695,4.103029,306,305,6,5,312,310,0.931072,4.235154,0.98869,206,209,15.437,15.46,,,,,,,,
layers.11,block,,4.531222,4.557886,309,302,2,3,311,305,1.596278,4.033671,0.98755,251,255,20.93,20.957,,,,,,,,
layers.12,block,,5.06216,5.10705,317,313,4,4,321,317,1.286063,4.626333,0.9874,280,284,29.625,29.623,,,,,,,,
layers.13,block,,5.809514,5.780872,321,320,4,4,325,324,1.664977,4.498874,0.98749,307,311,43.576,43.306,,,,,,,,
layers.14,block,,6.810143,6.779448,318,315,3,5,321,320,1.848833,7.372065,0.98799,337,341,65.781,64.949,,,,,,,,
layers.15,block,,8.103667,8.059169,315,316,0,1,315,317,4.184565,6.599165,0.988,387,391,102.676,101.837,,,,,,,,
layers.16,block,,9.747764,9.740997,327,327,4,4,331,331,4.578473,7.204935,0.98932,401,405,145.721,145.669,,,,,,,,
layers.17,block,,11.919816,11.818294,327,328,2,2,329,330,5.670635,10.787162,0.98884,438,443,196.27,196.728,,,,,,,,
layers.18,block,,14.860385,14.834,322,323,3,3,325,326,9.16867,17.155917,0.98877,457,462,237.5,238.233,,,,,,,,
layers.19,block,,18.191164,18.078093,314,314,5,6,319,320,14.603699,18.218157,0.98848,467,471,259.16,259.84,,,,,,,,
layers.20,block,,22.011174,21.718397,305,307,6,5,311,312,22.301703,31.75515,0.98779,467,471,266.61,267.385,,,,,,,,
layers.21,block,,27.450426,27.521822,308,310,4,5,312,315,15.992157,25.201718,0.98616,440,441,215.389,212.854,,,,,,,,
weight_all,weight,154,,,,,,,,,,,,,,,,22.124,929.965,27.684,941.113,22,848,29,858
weight_attn,weight,88,,,,,,,,,,,,,,,,22.124,238.246,27.684,240.807,22,207,29,208
weight_mlp,weight,66,,,,,,,,,,,,,,,,959.152,1541.631,977.273,1546.593,1225,1384,1235,1387
